model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
407,dt_d5_s120_l20_w0.4.pkl,5,120,20,0.4,0.8704610093260137,0.7885260635110845,0.827470212832846,0.8189184719695717,0.8043531227158288,0.8115704511000942
408,dt_d5_s120_l20_w0.5.pkl,5,120,20,0.5,0.8502432763201099,0.8533253445176753,0.8517815224054665,0.7980674869781837,0.8586047267116056,0.8272300469483568
409,dt_d5_s120_l20_w0.6.pkl,5,120,20,0.6,0.8453656674789348,0.8626123427201917,0.8539019290935781,0.7932059763621497,0.8666450093397222,0.8283008616005588
410,dt_d5_s120_l20_w0.7.pkl,5,120,20,0.7,0.8221506006445942,0.9246854403834631,0.8704087531548299,0.7660944206008584,0.9277998862990335,0.8392286501377411
411,dt_d5_s120_l20_w0.8.pkl,5,120,20,0.8,0.8169278996865204,0.936848412222888,0.8727881663410549,0.7592277486910994,0.9421749370583936,0.8408654368861668
412,dt_d5_s120_l20_w0.9.pkl,5,120,20,0.9,0.8172366049269835,0.9371779508687837,0.8731073556706066,0.7594787505729814,0.9419312921302688,0.8409222737819025
413,dt_d5_s120_l20_w1.0.pkl,5,120,20,1.0,0.8192235244872331,0.9381066506890353,0.8746438746438746,0.762340397525339,0.9407130674896451,0.8421856254771513
414,dt_d5_s120_l30_w0.2.pkl,5,120,30,0.2,0.9227596338569329,0.48924505692031156,0.6394533850189905,0.8936540133294697,0.5009339722244782,0.6419984387197502
415,dt_d5_s120_l30_w0.3.pkl,5,120,30,0.3,0.8771445543170621,0.7520371479928101,0.8097872546331393,0.8263786044080494,0.7704052627304475,0.7974108944182918
416,dt_d5_s120_l30_w0.4.pkl,5,120,30,0.4,0.8704610093260137,0.7885260635110845,0.827470212832846,0.8189184719695717,0.8043531227158288,0.8115704511000942
417,dt_d5_s120_l30_w0.5.pkl,5,120,30,0.5,0.8501729691041393,0.8540443379269024,0.852104256336681,0.7995772627764777,0.8602290262324372,0.8287949921752739
418,dt_d5_s120_l30_w0.6.pkl,5,120,30,0.6,0.8451150775011742,0.862432594367885,0.853686020995196,0.7947611251674356,0.8673759441240965,0.8294823501999923
419,dt_d5_s120_l30_w0.7.pkl,5,120,30,0.7,0.8223982503867285,0.9237567405632116,0.8701357338375144,0.7679483732186072,0.9277998862990335,0.8403398433189893
420,dt_d5_s120_l30_w0.8.pkl,5,120,30,0.8,0.817083692838654,0.9362192929898142,0.8726039063481648,0.760889530307006,0.9420125071063103,0.8418187756286969
