max_bins,interactions,greedy_ratio,smoothing_rounds,min_samples_leaf,max_leaves,outer_bags,learning_rate,random_state,threshold,train_precision,train_recall,train_fbeta,train_auc,test_precision,test_recall,test_fbeta,test_auc,train_time_sec
1024,0,0.0,0,2,5,8,0.01,42,0.4,0.878489148882389,0.9850589140381423,0.9029097387173397,0.9010864692116647,0.8202355836849508,0.9808682855040471,0.8552507962695629,0.8826356687482391,12.315000057220459
1024,0,0.0,0,2,5,8,0.01,42,0.5,0.8937486029356978,0.9713730412600721,0.9119679157598625,0.9010864692116647,0.8426759786803897,0.963944076526858,0.8700396119452548,0.8826356687482391,12.315000057220459
1024,0,0.0,0,2,5,8,0.01,42,0.6,0.9117315394486137,0.9493865651698586,0.9208624617076429,0.9010864692116647,0.8656280428432327,0.9345106696100074,0.881878828460184,0.8826356687482391,12.315000057220459
1024,0,0.0,0,2,5,8,0.01,42,0.7,0.9309487296389937,0.9094626877758433,0.9254826016193165,0.9010864692116647,0.8894593461860855,0.8923578261326606,0.8901821995019006,0.8826356687482391,12.315000057220459
1024,0,0.0,0,2,5,8,0.01,42,0.8,0.9530581250862902,0.8385228975179172,0.9215878243068845,0.9010864692116647,0.9166371053565094,0.814884894355093,0.8888888888888888,0.8826356687482391,12.315000057220459
1024,0,10.0,0,2,3,8,0.01,42,0.3,0.8639746076529713,0.9919423411750415,0.8927679889214848,0.8912015844158397,0.8013081889228678,0.9915904551666141,0.8416873006312877,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,3,8,0.01,42,0.4,0.8762856833519795,0.9831558488885289,0.9007642083395163,0.8912015844158397,0.820738137082601,0.981814359297803,0.855840377522736,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,3,8,0.01,42,0.5,0.8918777748759468,0.9679313276916225,0.9097482541434363,0.8912015844158397,0.8441127694859039,0.9631031220435194,0.8710160427807486,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,3,8,0.01,42,0.6,0.9092432390304731,0.9447706199133498,0.9178722106940197,0.8912015844158397,0.8690557562738014,0.9355618627141806,0.8847797991848095,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,3,8,0.01,42,0.7,0.9273247377803574,0.9056970482244807,0.9218215536781372,0.8912015844158397,0.8929885419951645,0.8929885419951645,0.8929885419951644,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,3,8,0.01,42,0.8,0.9496753994198628,0.8351621654451957,0.9182006365882431,0.8912015844158397,0.9196649758169163,0.8195101440134552,0.8923992673992673,0.8862801769077233,17.061452865600586
1024,0,10.0,0,2,4,8,0.01,42,0.3,0.8651042953446512,0.992468720897275,0.8937791715285882,0.8963540660704239,0.8033233915636984,0.9909597393041102,0.8432398586698867,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,4,8,0.01,42,0.4,0.8778548713501012,0.9836012471150342,0.9021009534596568,0.8963540660704239,0.8217368328342435,0.9807631661936298,0.8564543889845094,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,4,8,0.01,42,0.5,0.8931448605102194,0.9696319391019153,0.9111125907184234,0.8963540660704239,0.8442456658059757,0.9623672868705981,0.8709715780711142,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,4,8,0.01,42,0.6,0.9108478802992519,0.9465117220715067,0.9195094848016995,0.8963540660704239,0.8689149560117302,0.93440555029959,0.8844116110738005,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,4,8,0.01,42,0.7,0.9295511997016286,0.9082479653399198,0.9241322484292924,0.8963540660704239,0.8919571608567829,0.8929885419951645,0.8922147827228567,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,4,8,0.01,42,0.8,0.9516240180089126,0.8387253512572377,0.9206426809484655,0.8963540660704239,0.9191931107703197,0.819089666771786,0.8919413919413919,0.8852236654624235,16.922890186309814
1024,0,10.0,0,2,5,8,0.01,42,0.3,0.8653886888371107,0.9925497023930032,0.8940232505128791,0.8983355215638184,0.8034770751661837,0.9910648586145275,0.8433858884043386,0.8847099531047062,16.360890865325928
1024,0,10.0,0,2,5,8,0.01,42,0.4,0.8779483474805851,0.9841681175851318,0.9022941569530033,0.8983355215638184,0.8218972958689333,0.9808682855040471,0.8566051592765995,0.8847099531047062,16.360890865325928
1024,0,10.0,0,2,5,8,0.01,42,0.5,0.8930913698017588,0.9704417540591975,0.9112494653295947,0.8983355215638184,0.8439258370998985,0.9617365710080942,0.8705871158055,0.8847099531047062,16.360890865325928
1024,0,10.0,0,2,5,8,0.01,42,0.6,0.910960504790839,0.946997611045876,0.9197101819719031,0.8983355215638184,0.8687036313939868,0.9354567434037633,0.8844825444154553,0.8847099531047062,16.360890865325928
1024,0,10.0,0,2,5,8,0.01,42,0.7,0.9301603081893873,0.9092197432886585,0.924835255354201,0.8983355215638184,0.8906479345774796,0.8929885419951645,0.891231935373882,0.8847099531047062,16.360890865325928
1024,0,10.0,0,2,5,8,0.01,42,0.8,0.9519372016158648,0.8396566384581123,0.9211429332918745,0.8983355215638184,0.9184250854650478,0.8189845474613686,0.8913677707224987,0.8847099531047062,16.360890865325928
1024,20,0.0,0,2,3,8,0.01,42,0.3,0.8688414266992527,0.9932380451066931,0.896924933269955,0.9059816750695299,0.8132987910189983,0.9900136655103543,0.8512869184010122,0.8895918291370637,74.22750663757324
1024,20,0.0,0,2,3,8,0.01,42,0.4,0.8833145638827333,0.9845325343159088,0.9066164544454596,0.9059816750695299,0.8318869106200233,0.9773993482602754,0.8640460923705975,0.8895918291370637,74.22750663757324
1024,20,0.0,0,2,3,8,0.01,42,0.5,0.8989705440336639,0.968822124144633,0.9154718063991583,0.9059816750695299,0.8517862139725771,0.9599495427309996,0.8764756694500432,0.8895918291370637,74.22750663757324
1024,20,0.0,0,2,3,8,0.01,42,0.6,0.9182387460123665,0.9440417864517958,0.9245563596708636,0.9059816750695299,0.8747415066469719,0.9337748344370861,0.8887888338586223,0.8895918291370637,74.22750663757324
1024,20,0.0,0,2,3,8,0.01,42,0.7,0.9375814383590433,0.9031866218569057,0.9287394608098262,0.9059816750695299,0.8988596397740595,0.8865762640597078,0.895756996442037,0.8895918291370637,74.22750663757324
